rank,keyword,search_volume,cpc_usd,keyword_difficulty,intent,category,cluster
1,youtube seo,50000,376.36,15,technical,YouTube SEO,youtube_seo
2,youtube seo optimization,50000,376.36,15,technical,YouTube SEO,youtube_seo
3,youtube marketing,5000,2423.72,20,informational,YouTube for Business,youtube_general
4,youtube marketing services,5000,1557.78,3,informational,Agency / Services,youtube_general
5,youtube seo services,5000,1368.95,1,technical,Agency / Services,youtube_seo
7,youtube video seo,5000,525.61,2,technical,YouTube SEO,youtube_seo
8,youtube video seo optimization,5000,525.61,2,technical,YouTube SEO,youtube_seo
9,youtube seo tools,5000,472.66,1,technical,YouTube SEO,youtube_seo
10,youtube metrics,5000,399.4,2,informational,Analytics & ROI,youtube_general
11,youtube strategy,5000,295.55,18,strategic,YouTube for Business,youtube_general
12,youtube analytics for other channels,5000,225.3,6,technical,Analytics & ROI,youtube_general
13,youtube seo keywords,5000,209.94,13,technical,YouTube SEO,youtube_seo
29,youtube marketing company,500,3649.82,7,informational,Agency / Services,youtube_general
30,youtube businesses,500,2780.79,7,informational,YouTube for Business,youtube_general
31,marketing agency youtube,500,1982.07,18,transactional,Agency / Services,youtube_general
32,youtube marketing agency,500,1982.07,18,transactional,Agency / Services,youtube_general
33,youtube video marketing,500,1790.71,2,informational,Video Marketing Strategy,youtube_general
34,youtube business,500,1683.81,10,informational,YouTube for Business,youtube_growth_strategy
35,youtube seo company,500,1403.03,5,technical,Agency / Services,youtube_seo
36,lead gen youtube,500,1338.97,12,informational,YouTube Lead Gen,youtube_growth_strategy
37,youtube lead gen,500,1338.97,12,informational,YouTube Lead Gen,youtube_growth_strategy
38,youtube seo agency,500,1338.7,1,transactional,Agency / Services,youtube_seo
39,youtube marketing strategy,500,1078.06,4,strategic,YouTube for Business,youtube_general
40,youtube business channel,500,860.09,6,informational,YouTube for Business,youtube_growth_strategy
41,youtube content strategy,500,600.94,5,strategic,YouTube for Business,youtube_general
42,youtube seo expert,500,568.34,13,technical,YouTube SEO,youtube_seo
43,create youtube channel for business,500,555.89,30,informational,YouTube for Business,youtube_growth_strategy
44,youtube seo software,500,522.3,3,transactional,YouTube SEO,youtube_seo
45,youtube seo strategy,500,483.18,3,technical,YouTube SEO,youtube_seo
46,best tools for youtube seo,500,359.29,4,transactional,YouTube SEO,youtube_seo
47,youtube growth strategy,500,357.07,17,strategic,YouTube for Business,youtube_growth_strategy
48,youtube seo best practices,500,345.5,3,transactional,YouTube SEO,youtube_seo
49,youtube channel strategy,500,279.92,13,strategic,YouTube for Business,youtube_general
50,youtube analytics for other channels free,500,201.41,2,transactional,Analytics & ROI,youtube_general
51,youtube seo guidelines,500,198.85,4,technical,YouTube SEO,youtube_seo
52,youtube seo optimization tips,500,193.96,2,technical,YouTube SEO,youtube_seo
53,youtube seo tips,500,193.96,2,technical,YouTube SEO,youtube_seo
56,youtube marketing campaign,500,39.59,0,,YouTube for Business,
72,youtube video marketing services,500,11.29,1,informational,Agency / Services,youtube_general
75,b2b youtube,500,11.0,0,informational,YouTube for Business,b2b
76,youtube for b2b,500,11.0,0,informational,YouTube for Business,b2b
78,youtube agencies,500,9.0,0,transactional,Agency / Services,youtube_general
81,youtube management agency,500,6.0,0,transactional,Agency / Services,youtube_general
82,youtube digital marketing,500,6.0,0,informational,YouTube for Business,youtube_general
85,keyword research for youtube seo,500,0.0,1,technical,YouTube SEO,youtube_seo
88,youtube channel optimization and video seo,500,0.0,0,technical,YouTube SEO,youtube_seo
89,youtube marketing tools,500,0.0,0,informational,YouTube for Business,youtube_general
90,youtube video marketing company,500,0.0,0,informational,Agency / Services,youtube_general
91,youtube video seo service,500,0.0,1,transactional,Agency / Services,youtube_seo
93,youtube marketing case study,500,0.0,0,informational,Video Marketing Strategy,youtube_general
96,best youtube marketing,50,40.03,0,,YouTube for Business,
97,organic youtube marketing,50,39.36,0,,YouTube for Business,
98,b2b youtube strategy,50,32.45,0,,YouTube for Business,
100,youtube for business marketing,50,29.29,0,,YouTube for Business,
101,youtube marketing for real estate,50,27.21,0,,YouTube for Business,
103,youtube marketing online,50,23.65,0,,YouTube for Business,
104,youtube seo marketing,50,23.32,0,,YouTube SEO,
105,youtube marketing consultant,50,21.98,0,,YouTube for Business,
106,youtube marketing specialist,50,21.71,0,,YouTube for Business,
108,youtube marketing platform,50,17.01,0,,YouTube for Business,
111,best youtube marketing agencies,50,10.6,0,,YouTube for Business,
112,best youtube marketing agency,50,10.6,0,,Agency / Services,
113,youtube seo consultant,50,10.26,0,,YouTube SEO,
116,youtube video marketing agency,50,8.86,0,,Agency / Services,
117,youtube marketing packages,50,8.3,0,,YouTube for Business,
118,youtube video marketing strategy,50,6.34,0,,Video Marketing Strategy,
119,youtube marketing cost,50,6.24,0,,YouTube for Business,
120,youtube marketing price,50,5.7,0,,YouTube for Business,
121,youtube marketing agency near me,50,4.06,0,,Agency / Services,
122,learn youtube marketing,50,2.83,0,,YouTube for Business,
123,youtube digital marketing agency,50,2.0,0,transactional,Agency / Services,b2b
124,youtube marketing for beginners,50,1.11,0,,YouTube for Business,
125,youtube marketing services near me,50,0.62,0,,Agency / Services,
126,best youtube marketing campaigns,50,0.0,0,,YouTube for Business,
127,best youtube marketing companies,50,0.0,0,,YouTube for Business,
128,best youtube marketing services,50,0.0,0,,Agency / Services,
129,best youtube marketing strategy,50,0.0,0,,YouTube for Business,
130,cost of youtube marketing,50,0.0,0,,YouTube for Business,
131,digital marketing agency youtube,50,0.0,0,,Agency / Services,
132,digital marketing agency youtube video,50,0.0,0,,Agency / Services,
133,ecommerce youtube marketing,50,0.0,0,,YouTube for Business,
134,successful youtube marketing campaigns,50,0.0,0,,YouTube for Business,
135,top youtube marketing companies,50,0.0,0,,YouTube for Business,
136,youtube marketing b2b,50,0.0,0,,YouTube for Business,
137,youtube marketing best practices,50,0.0,0,,YouTube for Business,
138,youtube marketing content,50,0.0,0,,YouTube for Business,
139,youtube marketing firm,50,0.0,0,,YouTube for Business,
140,youtube marketing for b2b,50,0.0,0,,YouTube for Business,
141,youtube marketing for ecommerce,50,0.0,0,,YouTube for Business,
142,youtube marketing for law firms,50,0.0,0,,YouTube for Business,
143,youtube marketing for small business,50,0.0,0,,YouTube for Business,
144,youtube marketing influencer,50,0.0,0,,YouTube for Business,
145,youtube marketing near me,50,0.0,0,,YouTube for Business,
146,youtube marketing secrets,50,0.0,0,,YouTube for Business,
147,youtube video seo marketing,50,0.0,0,,YouTube SEO,
148,youtube video seo services,50,0.0,0,,Agency / Services,
152,youtube for b2b marketing,50,0.0,0,informational,YouTube for Business,b2b
153,b2b youtube channels,50,0.0,0,informational,YouTube for Business,b2b
154,best b2b youtube channels,50,0.0,0,informational,YouTube for Business,b2b
155,startup youtube,5000,182.4,1,informational,YouTube for Business,youtube_general
156,best business channel on youtube,500,0.0,0,transactional,YouTube for Business,youtube_general
157,using youtube for business,500,1307.19,2,informational,YouTube for Business,youtube_growth_strategy
158,youtube premium for business,500,0.0,3,informational,YouTube for Business,youtube_growth_strategy
159,youtube videos for business,500,963.0,4,informational,YouTube for Business,youtube_growth_strategy
160,youtube ads for business,500,5211.32,6,informational,YouTube for Business,youtube_growth_strategy
161,youtube marketing companies,500,1344.32,10,informational,Agency / Services,youtube_general
162,youtube for business,500,2625.87,12,informational,YouTube for Business,youtube_growth_strategy
163,content strategy youtube,500,472.73,16,strategic,YouTube for Business,youtube_general
165,youtube channel management agency,500,237.05,27,transactional,Agency / Services,youtube_general
166,youtube talent agency,500,415.09,29,transactional,Agency / Services,youtube_general
167,open youtube account for business,50,0.0,0,informational,YouTube for Business,youtube_growth_strategy
168,set up a youtube account for business,50,0.0,0,informational,YouTube for Business,youtube_growth_strategy
169,setting up a youtube business channel,50,0.0,0,informational,YouTube for Business,youtube_growth_strategy
170,youtube business case study,50,0.0,0,informational,YouTube for Business,youtube_growth_strategy
171,youtube create account for business,50,0.0,0,informational,YouTube for Business,youtube_growth_strategy
172,best youtube channel for business case study,50,0.0,0,transactional,YouTube for Business,youtube_growth_strategy
179,companies that use youtube for marketing,50,0.0,0,informational,Agency / Services,youtube_general
184,best business channel,50,0.0,1,transactional,Video Marketing Strategy,video_marketing_general
185,small business youtube channels,50,0.0,1,informational,YouTube for Business,youtube_general
186,top business channel on youtube,50,0.0,1,transactional,YouTube for Business,youtube_general
188,youtube for business pricing,50,0.0,2,informational,YouTube for Business,youtube_growth_strategy
190,private youtube channel for business,50,0.0,2,informational,YouTube for Business,youtube_growth_strategy
192,meta for business youtube,50,0.0,3,informational,YouTube for Business,youtube_general
194,youtube small business,50,0.0,4,informational,YouTube for Business,youtube_growth_strategy
195,youtube for enterprise,50,0.0,4,informational,YouTube for Business,youtube_general
196,how to check youtube analytics of other channels,50,53.22,5,technical,YouTube for Business,youtube_general
197,how to see youtube analytics for other channels,50,195.43,5,technical,YouTube for Business,youtube_general
198,youtube for internal business use,50,0.0,7,informational,YouTube for Business,youtube_growth_strategy
201,youtube for small business,50,784.2,8,informational,YouTube for Business,youtube_growth_strategy
202,youtube startup video,50,0.0,10,informational,YouTube for Business,youtube_general
203,youtube for companies,50,0.0,10,informational,Agency / Services,youtube_general
204,small business videos youtube,50,0.0,10,informational,YouTube for Business,youtube_general
205,youtube create a business channel,50,0.0,11,informational,YouTube for Business,youtube_growth_strategy
207,youtube channel startup,50,348.08,11,informational,YouTube for Business,youtube_general
208,startup youtube channel,50,348.08,11,informational,YouTube for Business,youtube_general
209,youtube for your business,50,0.0,14,informational,YouTube for Business,youtube_growth_strategy
210,youtube business channel create,50,0.0,14,informational,YouTube for Business,youtube_growth_strategy
212,starting a youtube channel for business,50,70.3,16,informational,YouTube for Business,youtube_growth_strategy
214,setting up youtube for business,50,0.0,26,informational,YouTube for Business,youtube_growth_strategy
215,create a youtube page for business,50,2308.25,28,informational,YouTube for Business,youtube_growth_strategy
218,small scale business youtube,50,0.0,0,informational,YouTube for Business,youtube_growth_strategy
220,youtube marketing service youtube stores,50,0.0,0,transactional,Agency / Services,youtube_general
221,youtube stores youtube marketing service,50,0.0,0,transactional,Agency / Services,youtube_general
222,youtube analytics business,0,0.0,0,technical,YouTube for Business,youtube_growth_strategy
223,youtube video analytics for other channels,500,218.3,5,technical,Analytics & ROI,youtube_analytics
224,view other youtube channel analytics,50,0.0,0,technical,Analytics & ROI,youtube_analytics
225,other youtube channel analytics,50,0.0,0,technical,Analytics & ROI,youtube_analytics
226,youtube analytics for other videos,50,0.0,0,technical,Analytics & ROI,youtube_analytics
227,youtube analytics for other channels reddit,50,0.0,0,technical,Analytics & ROI,youtube_analytics
228,how to check other youtubers analytics,50,0.0,0,technical,Analytics & ROI,youtube_analytics
229,view youtube analytics for other channels,50,0.0,1,technical,Analytics & ROI,youtube_analytics
230,how to see other youtube channel stats,50,0.0,2,technical,Analytics & ROI,youtube_analytics
231,can you see other youtubers analytics,50,0.0,2,technical,Analytics & ROI,youtube_analytics
232,how to view other youtubers analytics,50,0.0,4,technical,Analytics & ROI,youtube_analytics
233,how to view other youtube channel analytics,50,0.0,6,technical,Analytics & ROI,youtube_analytics
234,how to see other youtube channel analytics,50,0.0,6,technical,Analytics & ROI,youtube_analytics
235,free youtube analytics for other channels,50,0.0,7,technical,Analytics & ROI,youtube_analytics
236,how to see other youtubers analytics,50,0.0,8,technical,Analytics & ROI,youtube_analytics
237,youtube analytics tool for other channels,50,0.0,11,technical,Analytics & ROI,youtube_analytics
238,how to check other youtube channel analytics,50,89.8,11,technical,Analytics & ROI,youtube_analytics
239,how to analyse other youtube channel,50,0.0,12,technical,Analytics & ROI,youtube_analytics
240,how to analyze other youtube channel,50,0.0,12,technical,Analytics & ROI,youtube_analytics
241,how to check other channels analytics,50,41.92,13,technical,Analytics & ROI,youtube_analytics
242,how to see other channels analytics,50,0.0,13,technical,Analytics & ROI,youtube_analytics
243,create a company youtube channel,50000,210.11,3,informational,YouTube for Business,youtube_general
244,youtube script,5000,367.15,1,informational,YouTube Content Strategy,video_production
245,check youtube channel,5000,64.03,1,technical,Analytics & ROI,youtube_general
246,youtube analytics dashboard,5000,620.26,2,technical,Analytics & ROI,youtube_analytics
247,youtube script generator,5000,76.69,5,informational,YouTube Content Strategy,video_production
248,youtube video script generator,5000,119.48,6,informational,YouTube Content Strategy,video_production
249,youtube ai tool,5000,164.47,16,transactional,YouTube Tools & Software,youtube_automation
250,free youtube transcript generator,5000,129.53,18,informational,YouTube Content Strategy,youtube_transcription_captions
251,set up company youtube channel,5000,182.34,23,informational,YouTube for Business,youtube_general
252,ai tools for youtube,5000,127.82,36,transactional,YouTube Tools & Software,youtube_automation
253,ai tool for youtube,5000,127.82,36,transactional,YouTube Tools & Software,youtube_automation
254,best ai tools for youtube,5000,224.12,38,transactional,YouTube Tools & Software,youtube_automation
255,check youtube channel stats,500,93.88,1,technical,Analytics & ROI,youtube_general
256,script for a youtube video,500,236.39,2,informational,YouTube Content Strategy,video_production
257,youtube video script,500,236.39,2,informational,YouTube Content Strategy,video_production
258,youtube script video,500,236.39,2,informational,YouTube Content Strategy,video_production
259,company youtube channel,500,761.72,3,informational,YouTube for Business,youtube_general
260,brand youtube channel,500,471.78,5,informational,YouTube for Business,youtube_general
261,optimizing youtube channel,500,395.08,5,technical,Analytics & ROI,youtube_general
262,youtube script generator free,500,115.14,6,informational,YouTube Content Strategy,video_production
263,youtube video script generator free,500,95.58,6,informational,YouTube Content Strategy,video_production
264,optimize youtube channel,500,627.79,9,technical,Analytics & ROI,youtube_general
265,youtube script writer,500,391.39,16,informational,YouTube Content Strategy,video_production
266,youtube script writers,500,391.39,16,informational,YouTube Content Strategy,video_production
267,youtube script generator ai,500,40.11,17,informational,YouTube Content Strategy,youtube_automation
268,get script from youtube video,500,200.05,17,informational,YouTube Content Strategy,video_production
269,youtube coach,500,321.65,22,transactional,Agency / Services,youtube_general
270,ai youtube script generator,500,185.19,24,informational,YouTube Content Strategy,youtube_automation
271,youtube agency,500,1107.5,33,transactional,Agency / Services,youtube_general
272,free ai tools for youtube,500,78.4,36,transactional,YouTube Tools & Software,youtube_automation
273,youtube ad script,50,0.0,0,informational,YouTube Content Strategy,youtube_ads
274,youtube script writing app,50,0.0,0,informational,YouTube Content Strategy,youtube_tools_software
276,youtube channel introduction script example,50,0.0,0,informational,YouTube Content Strategy,video_production
277,youtube video intro script,50,0.0,0,informational,YouTube Content Strategy,video_production
278,youtube script online,50,0.0,0,informational,YouTube Content Strategy,video_production
279,youtube script writing tips,50,0.0,0,informational,YouTube Content Strategy,video_production
280,youtube channel script,50,0.0,0,informational,YouTube Content Strategy,video_production
281,youtube ads script,50,0.0,0,informational,YouTube Content Strategy,video_production
282,youtube channel trailer script,50,0.0,0,informational,YouTube Content Strategy,video_production
283,first youtube video script,50,0.0,0,informational,YouTube Content Strategy,video_production
284,example of a youtube script,50,0.0,0,informational,YouTube Content Strategy,video_production
285,example of youtube script,50,0.0,0,informational,YouTube Content Strategy,video_production
286,example script for youtube video,50,0.0,0,informational,YouTube Content Strategy,video_production
287,best youtube intro script,50,0.0,0,informational,YouTube Content Strategy,video_production
288,youtube video script generator online,50,0.0,0,informational,YouTube Content Strategy,video_production
289,free youtube script,50,0.0,0,informational,YouTube Content Strategy,video_production
290,youtube video script format,50,0.0,0,informational,YouTube Content Strategy,video_production
291,youtube script writing examples,50,0.0,0,informational,YouTube Content Strategy,video_production
292,youtube channel introduction script,50,0.0,0,informational,YouTube Content Strategy,video_production
293,youtube vlog script,50,0.0,0,informational,YouTube Content Strategy,video_production
294,youtube outro script example,50,0.0,0,informational,YouTube Content Strategy,video_production
296,script for first youtube video,50,0.0,0,informational,YouTube Content Strategy,video_production
297,youtube outro script,50,0.0,0,informational,YouTube Content Strategy,video_production
298,best script for youtube video,50,0.0,0,informational,YouTube Content Strategy,video_production
299,youtube intro script example,50,0.0,0,informational,YouTube Content Strategy,video_production
300,youtube intro script,50,0.0,0,informational,YouTube Content Strategy,video_production
301,youtube script format,50,0.0,0,informational,YouTube Content Strategy,video_production
302,youtube script example,50,0.0,0,informational,YouTube Content Strategy,video_production
303,best youtube script,50,0.0,0,informational,YouTube Content Strategy,video_production
304,brand new youtube channel,50,0.0,0,informational,YouTube for Business,youtube_general
305,create brand account youtube channel,50,0.0,0,informational,YouTube for Business,youtube_general
306,youtube channel marketing agency,50,0.0,0,transactional,Agency / Services,youtube_general
307,seo youtube agency,50,0.0,0,transactional,Agency / Services,youtube_general
308,youtube saas,50,0.0,0,transactional,Agency / Services,youtube_general
309,search engine optimization for youtube channel,50,0.0,0,technical,Analytics & ROI,youtube_seo
310,ways to improve your youtube channel,50,0.0,0,technical,Analytics & ROI,youtube_general
311,youtube channel improve,50,0.0,0,technical,Analytics & ROI,youtube_general
312,check youtube channel performance,50,0.0,0,technical,Analytics & ROI,youtube_general
313,youtube video script example,50,0.0,1,informational,YouTube Content Strategy,video_production
314,youtube video script generator ai,50,0.0,2,informational,YouTube Content Strategy,youtube_automation
315,write a youtube script,50,0.0,2,informational,YouTube Content Strategy,video_production
316,youtube short script,50,0.0,2,informational,YouTube Content Strategy,video_production
317,youtube script outline,50,0.0,2,informational,YouTube Content Strategy,video_production
318,youtube video script generator in hindi,50,0.0,2,informational,YouTube Content Strategy,video_production
319,get youtube script,50,0.0,2,informational,YouTube Content Strategy,video_production
320,get youtube video script,50,0.0,2,informational,YouTube Content Strategy,video_production
321,youtube video structure,50,0.0,2,informational,YouTube Content Strategy,youtube_general
322,free youtube video script,50,0.0,3,informational,YouTube Content Strategy,video_production
323,youtube script converter,50,122.96,3,informational,YouTube Content Strategy,video_production
324,real estate marketing youtube,50,0.0,3,transactional,Agency / Services,youtube_general
325,youtube real estate marketing,50,0.0,3,transactional,Agency / Services,youtube_general
326,check youtube channel analytics,50,0.0,3,technical,Analytics & ROI,youtube_general
327,get script youtube video,50,0.0,4,informational,YouTube Content Strategy,video_production
329,check youtube channel statistics,50,0.0,4,technical,Analytics & ROI,youtube_general
330,check seo of youtube channel,50,0.0,4,technical,Analytics & ROI,youtube_general
331,write a script for youtube video,50,127.29,5,informational,YouTube Content Strategy,video_production
332,writing a script for a youtube video,50,127.29,5,informational,YouTube Content Strategy,video_production
333,video script youtube,50,0.0,5,informational,YouTube Content Strategy,video_production
334,script of youtube video,50,140.28,6,informational,YouTube Content Strategy,video_production
335,youtube script maker,50,0.0,6,informational,YouTube Content Strategy,video_production
336,youtube script writing software,50,0.0,7,informational,YouTube Content Strategy,youtube_tools_software
337,youtube content script,50,0.0,7,informational,YouTube Content Strategy,video_production
338,youtube video script ai,50,0.0,9,informational,YouTube Content Strategy,youtube_automation
339,script of a youtube video,50,0.0,9,informational,YouTube Content Strategy,video_production
340,youtube channel audit tool,50,430.98,10,technical,Analytics & ROI,youtube_tools_software
341,check youtube channel traffic,50,0.0,10,technical,Analytics & ROI,youtube_general
342,get script of youtube video,50,178.38,11,informational,YouTube Content Strategy,video_production
344,youtube seo audit,50,0.0,11,technical,Analytics & ROI,youtube_seo
345,youtube script ai,50,357.62,14,informational,YouTube Content Strategy,youtube_automation
346,ai youtube script,50,0.0,16,informational,YouTube Content Strategy,youtube_automation
347,youtube video script writer,50,0.0,16,informational,YouTube Content Strategy,video_production
348,script from youtube video,50,170.58,16,informational,YouTube Content Strategy,video_production
349,youtube script ai writer,50,0.0,17,informational,YouTube Content Strategy,youtube_automation
350,free ai youtube script generator,50,275.38,18,informational,YouTube Content Strategy,youtube_automation
351,free youtube video transcript generator,50,168.73,19,informational,YouTube Content Strategy,youtube_transcription_captions
352,youtube channel audit tool free,50,426.71,19,technical,Analytics & ROI,youtube_tools_software
353,scripting a youtube video,50,225.14,23,informational,YouTube Content Strategy,youtube_general
354,youtube channel growth agency,50,741.22,24,transactional,Agency / Services,youtube_growth_strategy
355,ai youtube script writer,50,352.43,27,informational,YouTube Content Strategy,youtube_automation
356,writing a youtube video script,50,0.0,29,informational,YouTube Content Strategy,video_production
357,optimize your youtube channel,50,239.81,29,technical,Analytics & ROI,youtube_general
358,youtube script writer ai,50,289.21,31,informational,YouTube Content Strategy,youtube_automation
359,youtube script writing ai,50,289.21,31,informational,YouTube Content Strategy,youtube_automation
360,improve youtube channel,50,256.05,32,technical,Analytics & ROI,youtube_general
361,get the script of a youtube video,50,184.21,34,informational,YouTube Content Strategy,video_production
362,youtube content agency,50,722.17,35,transactional,Agency / Services,youtube_general
363,create a youtube channel business,50,200.15,37,informational,YouTube for Business,youtube_growth_strategy
364,create a youtube channel for your business,50,632.46,37,informational,YouTube for Business,youtube_growth_strategy
365,youtube promotion agency,50,724.77,39,transactional,Agency / Services,youtube_general
366,script ideas for youtube video,50,0.0,0,informational,YouTube Content Strategy,video_production
367,script for youtube video example,50,0.0,0,informational,YouTube Content Strategy,video_production
368,youtube vlog intro script,50,0.0,0,informational,YouTube Content Strategy,video_production
369,free script for youtube video,50,0.0,0,informational,YouTube Content Strategy,video_production
370,video script for youtube,50,0.0,0,informational,YouTube Content Strategy,video_production
371,introduction for youtube channel script,50,0.0,0,informational,YouTube Content Strategy,video_production
372,youtube channel promotion agency,50,0.0,0,transactional,Agency / Services,youtube_general
373,youtube ecommerce marketing,50,0.0,0,transactional,Agency / Services,youtube_general
374,ways to improve youtube channel,50,0.0,0,technical,Analytics & ROI,youtube_general
375,youtube shorts agency,50,642.64,11,transactional,YouTube Shorts Strategy,youtube_shorts_strategy
376,youtube shorts for business,50,899.29,15,transactional,YouTube Shorts Strategy,youtube_shorts_strategy
377,youtube shorts business,50,287.15,18,transactional,YouTube Shorts Strategy,youtube_shorts_strategy
